cores,config,transport,dump,scp_s,filter,restore,exec
4,vanilla,0,0,0,0,.001427975,0
4,5+1+1+1,tcp,.098939580,2.531445841,.097576847,2.368997671,6.664906
4,5+1+1+1,rdma,.098939580,2.531445841,.097023670,2.445947195,8.659413
4,2+2+2+2,tcp,.098939580,2.531445841,.096902352,1.572288685,4.428475
4,2+2+2+2,rdma,.098939580,2.531445841,.098613398,1.365149227,6.251553
4,8,tcp,.098939580,2.531445841,.091717428,2.953382354,8.593351
4,4+4,tcp,.098939580,2.531445841,.098195586,2.009776721,4.549899
4,4+4,rdma,.098939580,2.531445841,.096277512,2.016805585,6.387172
4,4+2+2,tcp,.098939580,2.531445841,.097562670,2.267682657,4.543133
4,4+2+2,rdma,.098939580,2.531445841,.098502080,2.055583448,8.559163
