cores,config,transport,dump,scp_s,filter,restore,exec
1,vanilla,0,0,0,0,.001057791,16.427567133
1,5+1+1+1+t,tcp,.196350827,2.773549347,.096179431,.789371500,10.185474
1,5+1+1+1+r,rdma,.196350827,2.773549347,.096947339,.960318937,16.141316
1,2+2+2+2+t,tcp,.196350827,2.773549347,.096863042,.786765691,4.011788
1,2+2+2+2+r,rdma,.196350827,2.773549347,.097079737,.886874659,10.103082
1,8,tcp,.196350827,2.773549347,.092332160,.080978233,16.205754
1,4+4+t,tcp,.196350827,2.773549347,.097315030,.894393292,8.078208
1,4+4+r,rdma,.196350827,2.773549347,.097639397,.658479787,10.070844
1,4+2+2+t,tcp,.196350827,2.773549347,.097657852,.997783675,8.055136
1,4+2+2+r,rdma,.196350827,2.773549347,.096222334,.820169711,12.247300
