cores,config,transport,dump,scp_s,filter,restore,exec
16,vanilla,0,0,0,0,.001280832, 131.500
16,22+21+21,tcp,.866255835,9.225934834,.413765267,4.316506119,49.001779
16,22+21+21,rdma,.866255835,9.225934834,.413862959,4.552632069,48.962842
16,16+16+16+16,tcp,.866255835,9.225934834,.414486827,4.428115243,36.399603
16,16+16+16+16,rdma,.866255835,9.225934834,.414504479,4.586878413,37.486242
16,34+10+10+10,tcp,.866255835,9.225934834,.415120058,4.429653093,36.296549
16,34+10+10+10,rdma,.866255835,9.225934834,.415665920,4.525888981,37.207800
16,64,local,.866255835,9.225934834,.407615592,3.287481163,133.171424
16,32+32,rdma,.866255835,9.225934834,.414959924,4.555376826,68.549253
16,32+32,tcp,.866255835,9.225934834,.415970531,4.470989115,68.828748
16,32+16+16,tcp,.866255835,9.225934834,.414175221,4.447671718,68.680817
16,32+16+16,rdma,.866255835,9.225934834,.421095210,4.592825340,69.203976
